date,home_team,away_team,tournament,neutral,result,home_ranking,away_ranking,ranking_diff,home_elo,away_elo,elo_diff,home_squad_age,away_squad_age,home_market_value,away_market_value,market_value_ratio,home_form_win_rate,home_form_pts_rate,home_form_gf,home_form_ga,home_form_gd,away_form_win_rate,away_form_pts_rate,away_form_gf,away_form_ga,away_form_gd,h2h_matches,h2h_home_wins,h2h_away_wins,h2h_draws,home_days_rest,away_days_rest,is_world_cup
2010-01-02,Iran,North Korea,Friendly,1,HOME,21.0,,,1760.0,,,29.2,25.3,34250000.0,6900000.0,4.963768115942029,0.2,0.26666666666666666,5,7,-2,0.6,0.6666666666666666,11,4,7,10,8,0,2,3,3,0
2010-01-02,Qatar,Mali,Friendly,0,DRAW,35.0,,65.0,1425.0,,-75.0,27.8,,18000000.0,,,0.4,0.4666666666666667,7,7,0,0.4,0.5333333333333333,6,5,1,0,0,0,0,3,3,0
2010-01-02,Syria,Zimbabwe,Friendly,1,HOME,,,0.0,,,0.0,,,,,,0.2,0.3333333333333333,3,6,-3,0.4,0.5333333333333333,7,7,0,0,0,0,0,3,4,0
2010-01-02,Yemen,Tajikistan,Friendly,0,AWAY,,,0.0,,,0.0,,,,,,0.6,0.6666666666666666,6,7,-1,0.4,0.4,7,11,-4,1,1,0,0,3,3,0
2010-01-03,Angola,Gambia,Friendly,1,DRAW,,,,,,,29.2,,52700000.0,,,0.0,0.2,1,4,-3,0.4,0.5333333333333333,5,2,3,0,0,0,0,4,180,0
2010-01-04,Egypt,Mali,Friendly,1,HOME,29.0,,71.0,1689.0,,189.0,28.9,,136200000.0,,,0.6,0.6666666666666666,9,3,6,0.4,0.5333333333333333,5,4,1,8,3,4,1,6,2,0
2010-01-04,Tanzania,Côte d'Ivoire,Friendly,0,AWAY,,33.0,-67.0,,1676.0,-176.0,,26.6,,370800000.0,0.0,0.6,0.6,7,3,4,0.4,0.6,11,3,8,1,0,0,1,22,47,0
2010-01-05,Ghana,Malawi,Friendly,1,DRAW,65.0,,35.0,1503.0,,3.0,25.1,,164900000.0,,,0.0,0.13333333333333333,5,9,-4,0.2,0.3333333333333333,3,4,-1,3,3,0,0,48,7,0
2010-01-06,United Arab Emirates,Malaysia,AFC Asian Cup qualification,0,HOME,,,0.0,,,0.0,,,,,,0.2,0.4,4,3,1,0.4,0.4666666666666667,11,7,4,6,4,2,0,21,7,0
2010-01-06,Yemen,Japan,AFC Asian Cup qualification,0,AWAY,,18.0,-82.0,,1904.0,-404.0,,26.4,,223500000.0,0.0,0.4,0.4666666666666667,5,8,-3,0.8,0.8666666666666667,17,0,17,3,0,3,0,4,49,0
